F659	F9DC
F65A	F9A7
F65B	'？'
F748	F986
F749	'←'
F74A	'→'
F74B	'←'
F74C	'→'
F74D	'■'
F74E	F976
F74F	F976
F69A	F9FB
F6EA	F8F3
F796	F9BA
F65E	F943
F65F	F8A3
F750	'■'
F751	'■'
F752	'◆'
F753	'◆'
F754	'■'
F755	'■'
F756	F940
F757	F940
F797	F9C4
F758	'＋'
F759	'ー'
F75A	'★'
F75B	'↑'
F75C	'↓'
F75D	F9DD
F75E	'↓'
F75F	'↑'
F760	'↓'
F761	'↑'
F762	'◆'
F763	'◆'
F764	'■'
F765	'■'
F766	F940
F767	F940
F768	F8F8
F769	F8F7
F660	F89F
F693	F8B4
F7B1	F95E
F661	F942
F6EB	F9B8
F77C	'〓'
F6D3	F995
F7B2	F991
F69B	F8D2
F6EC	F9E6
F76A	F9D7
F76B	'×'
F77D	F8EA
F798	F9C1
F654	F9C1
F77E	'〓'
F662	F8A2
F76C	'×'
F76D	'×'
F76E	'→'
F76F	'←'
F69C	F8D3
F770	'÷'
F780	F8EA
F6D4	F995
F663	'★'
F771	F8D9
F772	F949
F6ED	F9C0
F773	'〓'
F6B8	F945
F640	'★'
F644	F99F
F64E	F9A0
F6B9	F9F4
F7AC	F8EA
F6D5	F995
F774	F9D6
F775	F9DB
F674	F8E3
F7AD	'〓'
F7B3	F8E8
F6D6	'〓'
F799	F8DF
F776	'▲'
F777	'▼'
F790	F8EA
F675	F8E4
F781	F8EA
F7B4	F8D1
F6EE	F8E2
F664	F8A1
F694	'〓'
F782	F8E4
F65C	F9D4
F642	F8CE
F783	F8E4
F784	F8E4
F785	F8E4
F786	F8EA
F6EF	F8D6
F787	'〓'
F676	F8DF
F665	F8A0
F6FA	F977
F79A	F97A
F6F0	F8D8
F79B	F8D8
F684	F8C4
F6BD	F9E8
F79C	'〓'
F79D	'〓'
F6D7	F8FB
F778	'〓'
F779	F97E
F6F1	F981
F6F2	F97D
F788	F8E4
F677	F8E4
F79E	'〓'
F6F3	F8D5
F68A	F8BF
F79F	'〓'
F791	'〓'
F792	'〓'
F6F4	F8C6
F7A0	F9A0
F789	F8E4
F77A	'〓'
F6A7	F9EC
F6BA	F945
F7A1	'〓'
F77B	F9AF
F78A	'〓'
F6F5	F97D
F7A2	F9BA
F6D8	'〓'
F6D9	'〓'
F78B	F8E4
F678	F9D5
F6A8	F8E6
F6F6	'〓'
F685	F8D0
F78C	F8E4
F68B	'〓'
F679	F9BE
F7A3	'〓'
F7AE	F973
F7A4	F9BD
F7AF	'〓'
F7B0	'〓'
F6F7	F8E8
F686	F8C5
F78D	'〓'
F67A	'〓'
F793	'〓'
F69D	'〓'
F7A5	F8E9
F7A6	'〓'
F6DA	'〓'
F7A7	'〓'
F6F8	F8E6
F6F9	F974
F666	F8A0
F68C	F8C3
F68D	F947
F6A1	'〓'
F7A8	'〓'
F68E	F8BC
F7A9	'〓'
F7AA	'〓'
F7AB	'〓'
F655	F8E0
F656	F8E1
F657	F8FC
F658	F8E4
F6FB	F987
F6FC	F988
F740	F989
F741	F98A
F742	F98B
F743	F98C
F744	F98D
F745	F98E
F746	F98F
F747	'10'
F641	F8A4
F65D	F8A2
F667	F8A7
F668	F8A8
F669	F8A9
F66A	F8AA
F66B	F8AB
F66C	F8AC
F66D	F8AD
F66E	F8AE
F66F	F8AF
F670	F8B0
F671	F8B1
F672	F8B2
F673	'〓'
F67B	F8C9
F67C	F8CB
F67D	F8CF
F67E	F8CD
F680	F983
F681	F983
F682	F8C2
F683	F8C8
F78E	F8CC
F78F	'〓'
F687	F9C2
F688	F8C1
F689	F8BE
F643	F9D8
F68F	F8B7
F690	F8B6
F691	F9B7
F692	F8BA
F645	'〓'
F695	F99C
F696	F9F0
F697	F950
F698	F957
F699	'〓'
F646	'〓'
F647	'〓'
F69E	'〓'
F69F	F8EC
F6A0	F9BA
F6A2	F948
F6A3	F9ED
F6A4	F9FC
F6A5	'〓'
F6A6	'〓'
F6A9	F9EF
F6AA	'〓'
F6AB	F9E7
F6AC	F9F6
F6AD	'〓'
F6AE	F9EE
F6AF	F8D4
F648	'〓'
F6B0	'〓'
F6B1	F9F9
F6B2	'〓'
F6B3	'〓'
F6B4	F946
F6B5	F9F5
F6B6	'〓'
F6B7	F9FA
F6BB	'〓'
F6BC	'〓'
F649	F995
F64A	F996
F64B	F9D2
F64C	F9D0
F64D	F9A6
F6BE	F9A1
F6BF	F9AC
F6C0	F9CD
F64F	F993
F650	F994
F651	F99F
F652	F9A3
F653	'〓'
F6C1	'〓'
F6C2	F8AD
F6C3	F991
F6C4	F99E
